GeneSymbol,N_SNPs,Threshold_Used,Mean_F_stat,Is_Weak_Instrument,MR_Method,MR_Beta,MR_SE,MR_CI_Lower,MR_CI_Upper,MR_Pvalue,Cochran_Q,Cochran_Q_Pval,Top_Instrument_SNP,MR_FDR,Gene Name,Matrisome Division,Matrisome Category,logFC,Direction,P.Value,adj.P.Val,FDR_Significant (<0.05),Probe ID
SPOCK1,1,5.0e-08,36.462274560000004,False,Wald Ratio,0.01301117419296684,0.0073764545325066995,-0.0014466766907462892,0.02746902507667997,0.077752331503395,0.0,1.0,rs36100493,0.39250296325721473,"sparc/osteonectin, cwcv and kazal-like domains proteoglycan (testican) 1",Core matrisome,Proteoglycans,1.98131,UP,0.0251,0.76366,NO,202363_PM_at
ANXA6,2,5.0e-08,2434.18521505,False,IVW,-0.0011238550556151106,0.0006607151677913751,-0.0024188567844862056,0.00017114667325598444,0.08894908207394647,0.15884586426619812,0.6902213316319881,rs2303038,0.42121177401009674,annexin A6,Matrisome-associated,ECM-affiliated Proteins,-0.93219333,DOWN,0.027,0.77873,NO,200982_PM_s_at
FBLN1,1,1.0e-05 (relaxed),26.71649344,False,Wald Ratio,0.013400139735115002,0.00814333449899451,-0.002560795882914236,0.02936107535314424,0.09985958670595196,0.0,1.0,rs8136997,0.4471280222251313,fibulin 1,Core matrisome,ECM Glycoproteins,1.36257833,UP,0.0225,0.73721,NO,201787_PM_at
VCAN,1,5.0e-08,50.16605584,False,Wald Ratio,0.00985254012815565,0.006076620695257079,-0.0020576364345482254,0.021762716690859524,0.10493514922859948,0.0,1.0,rs309560,0.45572463135975144,versican,Core matrisome,Proteoglycans,2.75288333,UP,0.000701,0.14869,NO,221731_PM_x_at
CRIM1,1,5.0e-08,316.80084121,False,Wald Ratio,0.0035907921636579043,0.0022375235695339187,-0.0007947540326285764,0.007976338359944385,0.10853641520754453,0.0,1.0,rs10172196,0.46432571449242016,cysteine rich transmembrane BMP regulator 1 (chordin-like),Core matrisome,ECM Glycoproteins,-1.532185,DOWN,0.0225,0.73721,NO,228496_PM_s_at
FBLN2,1,5.0e-08,36.61944196,False,Wald Ratio,0.011627718312766887,0.007319648677886757,-0.002718793095891155,0.025974229721424928,0.11215923374904335,0.0,1.0,rs12630573,0.47252480425306903,fibulin 2,Core matrisome,ECM Glycoproteins,-1.3728,DOWN,0.00775,0.48363,NO,203886_PM_s_at
ADAMTS2,1,5.0e-08,285.16739161000004,False,Wald Ratio,-0.0035549801281958143,0.002250661635167873,-0.007966276933124846,0.0008563166767332165,0.11421529900658767,0.0,1.0,rs255027,0.47738296364714455,"ADAM metallopeptidase with thrombospondin type 1 motif, 2",Matrisome-associated,ECM Regulators,2.27016333,UP,0.0224,0.7369,NO,226311_PM_at
PLXDC2,2,5.0e-08,170.79663721000003,False,IVW,-0.0037093510800285793,0.002375540403670817,-0.00836541027122338,0.0009467081111662217,0.1184113082889342,0.6532583537843893,0.41895013635372536,rs4634985,0.48520895154844157,plexin domain containing 2,Matrisome-associated,ECM-affiliated Proteins,0.98353833,UP,0.0155,0.655,NO,227995_PM_at
TNFSF10,1,5.0e-08,472.07121983999997,False,Wald Ratio,0.003000435757849348,0.0019878562669571266,-0.0008957625253866201,0.006896634041085316,0.13120102456408622,0.0,1.0,rs3181140,0.5073062133707431,"tumor necrosis factor (ligand) superfamily, member 10",Matrisome-associated,Secreted Factors,-1.87084333,DOWN,0.0166,0.66137,NO,202687_PM_s_at
COL8A2,1,5.0e-08,54.01515025,False,Wald Ratio,0.009252625407666838,0.006169213068663769,-0.002839032206914149,0.021344283022247827,0.1336645521312292,0.0,1.0,rs12401902,0.5104066704730527,"collagen, type VIII, alpha 2",Core matrisome,Collagens,1.85791767,UP,0.0258,0.77122,NO,221900_PM_at
ITLN1,1,5.0e-08,1453.8130152100002,False,Wald Ratio,0.001188512665578668,0.0007979216487218288,-0.00037541376591611634,0.0027524390970734523,0.13635299322942052,0.0,1.0,rs12040060,0.51452069693459,intelectin 1 (galactofuranose binding),Matrisome-associated,ECM-affiliated Proteins,-6.39461483,DOWN,0.00263,0.30203,NO,223597_PM_at
CSTA,3,5.0e-08,831.6208658733336,False,IVW,-0.0035169738301959247,0.0015683759603175695,-0.006590990712418361,-0.00044295694797348833,0.1541607647198442,6.192206977074473,0.04522507955824118,rs34173813,0.5459155460982061,cystatin A (stefin A),Matrisome-associated,ECM Regulators,-1.71034833,DOWN,0.0102,0.54509,NO,204971_PM_at
PCOLCE,1,5.0e-08,73.94968035999999,False,Wald Ratio,0.007073809396567304,0.0049736636935602515,-0.0026745714428107886,0.016822190235945396,0.15495274261885505,0.0,1.0,rs62482238,0.5468128934922042,procollagen C-endopeptidase enhancer,Core matrisome,ECM Glycoproteins,1.56403167,UP,0.0119,0.58394,NO,202465_PM_at
ANXA3,3,5.0e-08,447.6707064966667,False,IVW,-0.001683807017008248,0.001189665902125395,-0.004015552185174022,0.000647938151157526,0.15696260529993133,0.5852879738495163,0.7462877816167441,rs6854010,0.5500066086553567,annexin A3,Matrisome-associated,ECM-affiliated Proteins,-1.807643,DOWN,0.00448,0.37414,NO,209369_PM_at
TNXB,3,5.0e-08,248.30722227333334,False,IVW,0.002021564963091357,0.0009298238873511049,0.00019911014388319156,0.0038440197822995226,0.1617368724032031,3.3821750996661715,0.18431895889750605,rs2269426,0.5581113121111034,tenascin XB,Core matrisome,ECM Glycoproteins,-1.90377667,DOWN,0.0158,0.6565,NO,216333_PM_x_at
CD109,2,5.0e-08,139.311004205,False,IVW,-0.003535859389855005,0.00259287088199494,-0.008617886318565087,0.0015461675388550766,0.1726666952865874,0.539086387196574,0.462811604002516,rs61840520,0.5752831777640985,CD109 molecule,Matrisome-associated,ECM Regulators,0.96097667,UP,0.0162,0.65724,NO,229900_PM_at
COL6A3,1,5.0e-08,596.15570569,False,Wald Ratio,-0.0023841701410979377,0.0017836185369986821,-0.0058800624736153545,0.0011117221914194791,0.18131925593516618,0.0,1.0,rs2173157,0.5886909877751348,"collagen, type VI, alpha 3",Core matrisome,Collagens,1.11747333,UP,0.0049,0.39466,NO,201438_PM_at
COL5A1,1,5.0e-08,108.33270889,False,Wald Ratio,0.005139293497217438,0.0038822106275855596,-0.0024698393328502584,0.012748426327285133,0.1855675021923311,0.0,1.0,rs116995524,0.5944053648242695,"collagen, type V, alpha 1",Core matrisome,Collagens,3.44077333,UP,0.0014,0.2175,NO,212488_PM_at
ZP3,3,5.0e-08,392.43293280666654,False,IVW,-0.0016038296107706038,0.001242269752243956,-0.004038678325168758,0.00083101910362755,0.19668710860045957,0.45747555447946653,0.7955371140945624,rs4727187,0.6072376433491706,zona pellucida glycoprotein 3 (sperm receptor),Core matrisome,ECM Glycoproteins,-0.95845757,DOWN,0.0498,0.90439,NO,204148_PM_s_at
AEBP1,3,5.0e-08,196.3767735766667,False,IVW,-0.0020634693666913826,0.0016009712171218356,-0.005201372952250181,0.001074434218867415,0.1974377265368663,1.7404348439991586,0.4188604698657643,rs10254547,0.6082568927158016,AE binding protein 1,Core matrisome,ECM Glycoproteins,2.48848833,UP,0.000431,0.10875,NO,201792_PM_at
ADAM22,1,5.0e-08,58.18180729,False,Wald Ratio,-0.007298318885389665,0.005945431156313414,-0.018951363951763955,0.0043547261809846255,0.21961563361772374,0.0,1.0,rs2299189,0.6379603790545626,ADAM metallopeptidase domain 22,Matrisome-associated,ECM Regulators,-0.63180767,DOWN,0.015,0.64738,NO,244194_PM_at
FBLN7,1,5.0e-08,163.56875236000002,False,Wald Ratio,-0.004076441770386635,0.003513437683008632,-0.010962779629083555,0.0028098960883102845,0.2459498504380626,0.0,1.0,rs111264508,0.6688929636593108,fibulin 7,Core matrisome,ECM Glycoproteins,1.11067167,UP,0.0193,0.69322,NO,229247_PM_at
LGALS3,1,5.0e-08,55.154387559999996,False,Wald Ratio,0.006682675002482864,0.005764284523570219,-0.004615322663714765,0.017980672668680493,0.2463240286272832,0.0,1.0,rs7141706,0.6689565362420049,"lectin, galactoside-binding, soluble, 3",Matrisome-associated,ECM-affiliated Proteins,-1.33756,DOWN,0.0264,0.77605,NO,208949_PM_s_at
PCOLCE2,1,5.0e-08,63.251799609999985,False,Wald Ratio,-0.005885506251290309,0.005490097562573131,-0.016646097473933644,0.004875084971353027,0.2837100786458393,0.0,1.0,rs4683702,0.7052852583451924,procollagen C-endopeptidase enhancer 2,Core matrisome,ECM Glycoproteins,-4.62012833,DOWN,0.00229,0.27819,NO,219295_PM_s_at
SNED1,1,5.0e-08,71.03455524,False,Wald Ratio,0.005617440805193893,0.005332698881855929,-0.004834649003243727,0.016069530613631512,0.2921597829153191,0.0,1.0,rs111678023,0.7119118570055641,"sushi, nidogen and EGF-like domains 1",Core matrisome,ECM Glycoproteins,1.498445,UP,0.000445,0.10964,NO,1554798_PM_at
FAM20B,2,5.0e-08,312.321384745,False,IVW,-0.00174599689415673,0.0017411641885881298,-0.005158678703789464,0.0016666849154760043,0.31596916343972836,0.4858311941077395,0.48579283022661535,rs1220,0.7328508681901907,"family with sequence similarity 20, member B",Matrisome-associated,ECM Regulators,-1.051875,DOWN,0.0364,0.83472,NO,202916_PM_s_at
TGM2,1,5.0e-08,118.42010040999999,False,Wald Ratio,0.0038008027573548453,0.0038312403975061466,-0.003708428421757202,0.011310033936466892,0.3211704972104594,0.0,1.0,rs12624511,0.7373883872413709,"transglutaminase 2 (C polypeptide, protein-glutamine-gamma-glutamyltransferase)",Matrisome-associated,ECM Regulators,0.9520255,UP,0.0428,0.86756,NO,211003_PM_x_at
CTSK,4,5.0e-08,1717.177492505,False,IVW,-0.0008653666465423722,0.00073370350609893,-0.002303425518496275,0.0005726922254115304,0.32323575911958247,5.035907094870918,0.16918665352926565,rs6587551,0.7378603343221571,cathepsin K,Matrisome-associated,ECM Regulators,2.43695333,UP,0.0256,0.76922,NO,202450_PM_s_at
TECTA,1,5.0e-08,54.725965290000005,False,Wald Ratio,-0.005718672206881088,0.0059021283578787765,-0.01728684378832349,0.005849499374561314,0.3325866277239884,0.0,1.0,rs1939004,0.7439653580468365,tectorin alpha,Core matrisome,ECM Glycoproteins,1.04586667,UP,0.00711,0.46981,NO,236904_PM_x_at
LEP,1,5.0e-08,87.04143615999999,False,Wald Ratio,0.00470841400406856,0.004871092353085536,-0.00483892700797909,0.014255755016116211,0.3337423780210522,0.0,1.0,rs10274395,0.7444072564729383,leptin,Matrisome-associated,Secreted Factors,-5.71734833,DOWN,3.9e-05,0.03096,YES,207092_PM_at
MUC20,3,5.0e-08,1049.5304261433332,False,IVW,-0.0012961484348631884,0.0010459623864929864,-0.0033462347123894417,0.0007539378426630649,0.34096682874603923,3.5768220099871475,0.167225679433895,rs13303149,0.7496037081826128,"mucin 20, cell surface associated",Matrisome-associated,ECM-affiliated Proteins,-1.07581667,DOWN,0.0326,0.81737,NO,1558220_PM_at
COL6A2,3,5.0e-08,316.83474138,False,IVW,-0.0017614142560043438,0.0014595374750582977,-0.004622107707118607,0.0010992791951099199,0.3508698767987817,2.5284802971310727,0.2824538375740432,rs1475915,0.7557923477291073,"collagen, type VI, alpha 2",Core matrisome,Collagens,0.94531667,UP,0.0389,0.84832,NO,213290_PM_at
OGFOD1,1,5.0e-08,857.6522244899998,False,Wald Ratio,-0.001306573795377497,0.0014849211184465253,-0.004217019187532686,0.0016038715967776926,0.3789165118176947,0.0,1.0,rs72622271,0.7758085989463918,2-oxoglutarate and iron-dependent oxygenase domain containing 1,Matrisome-associated,ECM Regulators,-1.35626182,DOWN,0.0197,0.70122,NO,225110_PM_at
S100A13,2,5.0e-08,871.8908563849999,False,IVW,0.0017944211955237335,0.0012211470194942544,-0.000599026962685005,0.0041878693537324724,0.3804026030162453,1.5888004798997661,0.20749759551084324,rs3828031,0.7766981631503972,S100 calcium binding protein A13,Matrisome-associated,Secreted Factors,-0.95649667,DOWN,0.0158,0.6565,NO,202598_PM_at
S100A3,2,5.0e-08,85.92108884000001,False,IVW,0.003915194127049467,0.002682936681951322,-0.0013433617695751245,0.009173750023674057,0.38245987268215376,1.9739375928013176,0.160030528259842,rs147475376,0.7780148798097742,S100 calcium binding protein A3,Matrisome-associated,Secreted Factors,0.67998267,UP,0.0199,0.70281,NO,206027_PM_at
MUC1,2,5.0e-08,242.97593602499995,False,IVW,0.00427303266289353,0.0029814253300980737,-0.0015705609840986935,0.010116626309885754,0.3878295314168225,2.1373161726862966,0.14375319014384447,rs141942982,0.7796453982262604,"mucin 1, cell surface associated",Matrisome-associated,ECM-affiliated Proteins,1.56945833,UP,0.00281,0.31076,NO,213693_PM_s_at
SERPINB6,1,5.0e-08,8427.14820025,False,Wald Ratio,0.00042759800024661036,0.0005484345682343897,-0.0006473337534927933,0.001502529753986014,0.4355851195549638,0.0,1.0,rs11242808,0.8075912528871116,"serpin peptidase inhibitor, clade B (ovalbumin), member 6",Matrisome-associated,ECM Regulators,-3.15377167,DOWN,0.0146,0.6403,NO,231628_PM_s_at
MFGE8,1,5.0e-08,2745.92768256,False,Wald Ratio,0.0006850891829735331,0.0008842641176261031,-0.0010480684875736291,0.0024182468535206953,0.4384836848843521,0.0,1.0,rs35392854,0.8086303052781948,milk fat globule-EGF factor 8 protein,Core matrisome,ECM Glycoproteins,1.15391333,UP,0.0332,0.82192,NO,210605_PM_s_at
LGALS12,3,5.0e-08,476.1696936733333,False,IVW,0.0009387078286001387,0.0012640971152796665,-0.0015389225173480076,0.0034163381745482848,0.45772900958720353,0.16841351920868772,0.9192411745036676,rs1404504,0.8200135011645254,"lectin, galactoside-binding, soluble, 12",Matrisome-associated,ECM-affiliated Proteins,-0.79102867,DOWN,0.0427,0.86756,NO,223828_PM_s_at
PARM1,1,5.0e-08,661.34351556,False,Wald Ratio,-0.0012024708414671013,0.0016235936769336914,-0.004384714448257137,0.001979772765322934,0.4589220503342375,0.0,1.0,rs10007853,0.8204432517485829,prostate androgen-regulated mucin-like protein 1,Matrisome-associated,ECM-affiliated Proteins,-1.17712167,DOWN,0.0105,0.55263,NO,225809_PM_at
ISM1,1,5.0e-08,2024.5770220900001,False,Wald Ratio,-0.000631899015920085,0.0009139640838960071,-0.0024232686203562587,0.0011594705885160888,0.48932503181139086,0.0,1.0,rs6109773,0.8361979701304301,isthmin 1 homolog (zebrafish),Matrisome-associated,Secreted Factors,1.89909017,UP,0.00118,0.20263,NO,235182_PM_at
COCH,2,5.0e-08,944.9663365,False,IVW,-0.0010886353950087559,0.001134196490670466,-0.003311660516722869,0.0011343897267053573,0.513046885673111,1.200773738679744,0.2731670876961575,rs179661,0.8476665881970735,"coagulation factor C homolog, cochlin (Limulus polyphemus)",Core matrisome,ECM Glycoproteins,-0.74580983,DOWN,0.023,0.73934,NO,205229_PM_s_at
PCSK5,2,5.0e-08,298.656775125,False,IVW,0.0011945078067194274,0.001828530336124736,-0.002389411652085055,0.00477842726552391,0.5135879420619296,0.018808743757056313,0.8909162045776866,rs12347453,0.8480351033788157,proprotein convertase subtilisin/kexin type 5,Matrisome-associated,ECM Regulators,-1.07710833,DOWN,0.00214,0.26638,NO,205560_PM_at
S100B,1,5.0e-08,6579.46477321,False,Wald Ratio,-0.0002806084606564706,0.00043770223486498845,-0.001138504840991848,0.0005772879196789067,0.5214613389738374,0.0,1.0,rs2070432,0.8528990656943876,S100 calcium binding protein B,Matrisome-associated,Secreted Factors,-1.97702167,DOWN,0.000154,0.06141,NO,209686_PM_at
CTSC,3,5.0e-08,1197.7149505499997,False,IVW,-0.0009146839586687422,0.0012223028423159277,-0.0033103975296079604,0.0014810296122704759,0.5322943179395407,5.106721168080333,0.07781970641569824,rs10047448,0.8567030595586409,cathepsin C,Matrisome-associated,ECM Regulators,-1.42134233,DOWN,0.00676,0.46191,NO,231234_PM_at
INSL3,1,5.0e-08,585.41738116,False,Wald Ratio,-0.0010309272887863363,0.0016560684271761344,-0.00427682140605156,0.0022149668284788876,0.53360334243665,0.0,1.0,rs12462622,0.8573980406080046,insulin-like 3 (Leydig cell),Matrisome-associated,Secreted Factors,0.80060833,UP,0.0471,0.88684,NO,1553594_PM_a_at
CTSB,2,5.0e-08,802.7452978450001,False,IVW,-0.0038588921595990745,0.004565387031231712,-0.01280705074081323,0.005089266421615082,0.5532649245298322,17.113943960082352,3.5202899612007954e-05,rs4631423,0.8641514987502222,cathepsin B,Matrisome-associated,ECM Regulators,0.71833667,UP,0.0363,0.83464,NO,213275_PM_x_at
SFRP2,1,5.0e-08,360.95060169,False,Wald Ratio,0.0013483119984650362,0.002284874906815862,-0.0031300428188940537,0.005826666815824126,0.5551214623317327,0.0,1.0,rs7653960,0.8646363211172304,secreted frizzled-related protein 2,Matrisome-associated,Secreted Factors,2.53317167,UP,0.00584,0.42805,NO,223121_PM_s_at
SULF2,2,5.0e-08,1042.759080085,False,IVW,0.0016008257011527307,0.0019090801829444734,-0.002140971457418437,0.005342622859723898,0.5557675009066134,3.045073124298669,0.08098246873092141,rs2425973,0.8648513748723051,sulfatase 2,Matrisome-associated,ECM Regulators,1.738715,UP,0.000157,0.06216,NO,224724_PM_at
ADAMTS5,1,5.0e-08,121.90809743999999,False,Wald Ratio,-0.002283009757575902,0.004052342319697226,-0.010225600704182464,0.0056595811890306595,0.5731759612968044,0.0,1.0,rs2298675,0.8716723204198885,"ADAM metallopeptidase with thrombospondin type 1 motif, 5",Matrisome-associated,ECM Regulators,-1.52560033,DOWN,0.00935,0.52687,NO,235368_PM_at
TGFB3,2,5.0e-08,463.09158153,False,IVW,-0.0008315103758218144,0.001478368570908931,-0.003729112774803319,0.00206609202315969,0.5738085517644058,2.4762675583665113e-06,0.9987444365455703,rs146047341,0.8719958748964117,"transforming growth factor, beta 3",Matrisome-associated,Secreted Factors,1.38042167,UP,0.0102,0.54483,NO,209747_PM_at
COL5A2,3,5.0e-08,162.04862755,False,IVW,0.0023228905703367997,0.003565521634477161,-0.004665531833238435,0.009311312973912035,0.5815916061495441,8.703714439241024,0.012882864040649866,rs10166301,0.8751789646604623,"collagen, type V, alpha 2",Core matrisome,Collagens,2.83665667,UP,0.00101,0.18887,NO,221730_PM_at
BMP1,1,5.0e-08,524.9368322500001,False,Wald Ratio,0.0010889230717096585,0.0020628477255658674,-0.002954258470399441,0.005132104613818758,0.5975869963720282,0.0,1.0,rs36074562,0.884388363108129,bone morphogenetic protein 1,Matrisome-associated,ECM Regulators,0.58817083,UP,0.0484,0.89434,NO,1570383_PM_at
COL6A1,3,5.0e-08,295.22584071999995,False,IVW,0.0012590985702227143,0.0020360487448512305,-0.002731556969685697,0.005249754110131125,0.5993527242617476,3.5278391216411245,0.17137184334940248,rs17551710,0.8851118505819081,"collagen, type VI, alpha 1",Core matrisome,Collagens,0.692145,UP,0.024,0.74981,NO,213428_PM_s_at
SERPINE1,1,5.0e-08,87.23933603999998,False,Wald Ratio,-0.0022636490458399156,0.004826930863931106,-0.011724433539144881,0.007197135447465051,0.6390965176565304,0.0,1.0,rs2227667,0.901157684010644,"serpin peptidase inhibitor, clade E (nexin, plasminogen activator inhibitor type 1), member 1",Matrisome-associated,ECM Regulators,3.0182915,UP,0.0412,0.86207,NO,1568765_PM_at
TSPEAR,1,5.0e-08,168.58425600000004,False,Wald Ratio,-0.001459685694627563,0.0031940029761309305,-0.007719931527844186,0.004800560138589061,0.647665119271605,0.0,1.0,rs233321,0.9040025708192521,chromosome 21 open reading frame 29,Core matrisome,ECM Glycoproteins,0.89494267,UP,0.0375,0.84253,NO,1555048_PM_a_at
CLCF1,3,5.0e-08,75.32763113666667,False,IVW,-0.001333954691488436,0.0030686201060461,-0.007348450099338792,0.00468054071636192,0.6637741583867909,1.6049898824015734,0.4482093120857249,rs77125470,0.9113482498964547,cardiotrophin-like cytokine factor 1,Matrisome-associated,Secreted Factors,0.76089283,UP,0.0166,0.66137,NO,219500_PM_at
TNFAIP6,2,5.0e-08,958.694370685,False,IVW,-0.001732869490930885,0.0030402652516785507,-0.0076917893842208445,0.004226050402359074,0.6702002443103787,9.092719160908235,0.002566290450007891,rs12617669,0.9142633524162842,"tumor necrosis factor, alpha-induced protein 6",Core matrisome,ECM Glycoproteins,1.64126833,UP,0.0106,0.55359,NO,206026_PM_s_at
SERPINE2,3,5.0e-08,1850.7645766466667,False,IVW,0.00026282223330226077,0.000634432451404408,-0.0009806653714503788,0.0015063098380549004,0.6786811123127829,0.294790962469364,0.8629526283512612,rs6722871,0.9156353817951609,"serpin peptidase inhibitor, clade E (nexin, plasminogen activator inhibitor type 1), member 2",Matrisome-associated,ECM Regulators,2.73569667,UP,7.95e-05,0.04308,YES,212190_PM_at
THBS2,1,5.0e-08,257.409936,False,Wald Ratio,0.0010443666256971602,0.002521880699840148,-0.0038985195459895292,0.00598725279738385,0.6787846611059729,0.0,1.0,rs7450180,0.9156867023252356,thrombospondin 2,Core matrisome,ECM Glycoproteins,2.29237667,UP,0.000343,0.09516,NO,203083_PM_at
COL1A1,1,5.0e-08,64.60140625,False,Wald Ratio,0.002355530350627565,0.006142975203873464,-0.009684701048964425,0.014395761750219555,0.7013853509700834,0.0,1.0,rs9898186,0.9230975447561872,"collagen, type I, alpha 1",Core matrisome,Collagens,2.98466833,UP,8.14e-06,0.01536,YES,1556499_PM_s_at
ADAMTS6,2,5.0e-08,415.84970582500006,False,IVW,0.0005069133769818459,0.0013310810671926948,-0.002102005514715836,0.0031158322686795276,0.7033306378313022,0.1778903968611526,0.6731925035086483,rs171531,0.9234123912280315,"ADAM metallopeptidase with thrombospondin type 1 motif, 6",Matrisome-associated,ECM Regulators,0.79023267,UP,0.0495,0.90075,NO,237411_PM_at
LAMB3,1,5.0e-08,160.64041536000002,False,Wald Ratio,0.0011930611900081228,0.0032789164920021896,-0.005233615134316169,0.007619737514332414,0.7159637773588265,0.0,1.0,rs12030655,0.9281754224730167,"laminin, beta 3",Core matrisome,ECM Glycoproteins,-0.80779817,DOWN,0.0162,0.65724,NO,209270_PM_at
FN1,1,5.0e-08,312.89718321000004,False,Wald Ratio,0.0008683926040971551,0.0024377517182215336,-0.003909600763617051,0.005646385971811361,0.7216706892504192,0.0,1.0,rs10932612,0.9304221114668657,fibronectin 1,Core matrisome,ECM Glycoproteins,1.93177567,UP,0.00526,0.41042,NO,214702_PM_at
